# score,moves,time,max_tile
4.556000000000000000e+03,3.150000000000000000e+02,6.384139997959136963e+02,5.120000000000000000e+02
7.092000000000000000e+03,4.860000000000000000e+02,7.020820000171661377e+02,5.120000000000000000e+02
4.700000000000000000e+03,3.230000000000000000e+02,5.682970001697540283e+02,5.120000000000000000e+02
4.916000000000000000e+03,3.310000000000000000e+02,6.645529999732971191e+02,5.120000000000000000e+02
3.232000000000000000e+03,2.720000000000000000e+02,6.539189999103546143e+02,2.560000000000000000e+02
4.068000000000000000e+03,3.370000000000000000e+02,7.471219999790191650e+02,2.560000000000000000e+02
5.212000000000000000e+03,3.600000000000000000e+02,6.416449999809265137e+02,5.120000000000000000e+02
1.996000000000000000e+03,2.060000000000000000e+02,5.922960000038146973e+02,1.280000000000000000e+02
1.258000000000000000e+04,7.510000000000000000e+02,7.944660000801086426e+02,1.024000000000000000e+03
2.896000000000000000e+03,2.410000000000000000e+02,4.255230000019073486e+02,2.560000000000000000e+02
2.320000000000000000e+03,2.130000000000000000e+02,4.945350000858306885e+02,1.280000000000000000e+02
4.200000000000000000e+03,3.420000000000000000e+02,5.266229999065399170e+02,2.560000000000000000e+02
2.852000000000000000e+03,2.450000000000000000e+02,4.942379999160766602e+02,2.560000000000000000e+02
3.548000000000000000e+03,2.870000000000000000e+02,6.573150000572204590e+02,2.560000000000000000e+02
5.264000000000000000e+03,3.640000000000000000e+02,5.706630001068115234e+02,5.120000000000000000e+02
6.964000000000000000e+03,4.730000000000000000e+02,6.285529999732971191e+02,5.120000000000000000e+02
7.268000000000000000e+03,5.010000000000000000e+02,7.554779999256134033e+02,5.120000000000000000e+02
4.196000000000000000e+03,3.510000000000000000e+02,6.226189999580383301e+02,2.560000000000000000e+02
5.448000000000000000e+03,3.820000000000000000e+02,5.845340001583099365e+02,5.120000000000000000e+02
1.073600000000000000e+04,6.260000000000000000e+02,7.375929999351501465e+02,1.024000000000000000e+03
2.404000000000000000e+03,2.030000000000000000e+02,6.015379998683929443e+02,2.560000000000000000e+02
3.520000000000000000e+03,2.950000000000000000e+02,6.256290001869201660e+02,2.560000000000000000e+02
2.844000000000000000e+03,2.430000000000000000e+02,4.904299998283386230e+02,2.560000000000000000e+02
4.956000000000000000e+03,3.440000000000000000e+02,5.868420000076293945e+02,5.120000000000000000e+02
3.000000000000000000e+03,2.400000000000000000e+02,6.620060000419616699e+02,2.560000000000000000e+02
4.040000000000000000e+03,3.070000000000000000e+02,4.985980000495910645e+02,2.560000000000000000e+02
6.548000000000000000e+03,4.490000000000000000e+02,9.345920000076293945e+02,5.120000000000000000e+02
3.240000000000000000e+03,2.660000000000000000e+02,4.990030000209808350e+02,2.560000000000000000e+02
7.144000000000000000e+03,4.860000000000000000e+02,6.355750000476837158e+02,5.120000000000000000e+02
2.744000000000000000e+03,2.200000000000000000e+02,6.837609999179840088e+02,2.560000000000000000e+02
3.216000000000000000e+03,2.690000000000000000e+02,5.744270000457763672e+02,2.560000000000000000e+02
2.716000000000000000e+03,2.340000000000000000e+02,4.670349998474121094e+02,2.560000000000000000e+02
1.844000000000000000e+03,1.920000000000000000e+02,3.520559999942779541e+02,1.280000000000000000e+02
7.288000000000000000e+03,4.990000000000000000e+02,8.987000000476837158e+02,5.120000000000000000e+02
3.816000000000000000e+03,2.980000000000000000e+02,6.352750000953674316e+02,2.560000000000000000e+02
2.936000000000000000e+03,2.320000000000000000e+02,6.593619999885559082e+02,2.560000000000000000e+02
2.736000000000000000e+03,2.180000000000000000e+02,5.146889998912811279e+02,2.560000000000000000e+02
6.568000000000000000e+03,4.450000000000000000e+02,7.851800000667572021e+02,5.120000000000000000e+02
5.616000000000000000e+03,3.920000000000000000e+02,5.414720001220703125e+02,5.120000000000000000e+02
6.780000000000000000e+03,4.700000000000000000e+02,8.424579999446868896e+02,5.120000000000000000e+02
2.432000000000000000e+03,2.050000000000000000e+02,5.355219998359680176e+02,2.560000000000000000e+02
6.120000000000000000e+03,4.150000000000000000e+02,6.719260001182556152e+02,5.120000000000000000e+02
7.096000000000000000e+03,4.790000000000000000e+02,4.972739999294281006e+02,5.120000000000000000e+02
5.876000000000000000e+03,4.230000000000000000e+02,9.143289999961853027e+02,5.120000000000000000e+02
1.152000000000000000e+03,1.250000000000000000e+02,2.968050000667572021e+02,1.280000000000000000e+02
2.476000000000000000e+03,2.110000000000000000e+02,4.886459999084472656e+02,2.560000000000000000e+02
7.752000000000000000e+03,5.400000000000000000e+02,7.800320000648498535e+02,5.120000000000000000e+02
4.940000000000000000e+03,3.720000000000000000e+02,6.993500001430511475e+02,2.560000000000000000e+02
6.884000000000000000e+03,4.680000000000000000e+02,8.182699999809265137e+02,5.120000000000000000e+02
5.280000000000000000e+03,3.860000000000000000e+02,6.305429999828338623e+02,5.120000000000000000e+02
6.668000000000000000e+03,4.770000000000000000e+02,5.123619999885559082e+02,5.120000000000000000e+02
7.364000000000000000e+03,5.080000000000000000e+02,5.705490000247955322e+02,5.120000000000000000e+02
5.460000000000000000e+03,3.810000000000000000e+02,5.199259998798370361e+02,5.120000000000000000e+02
1.120000000000000000e+03,1.320000000000000000e+02,3.206000001430511475e+02,6.400000000000000000e+01
3.420000000000000000e+03,2.800000000000000000e+02,4.381019999980926514e+02,2.560000000000000000e+02
6.800000000000000000e+03,4.650000000000000000e+02,6.640939998626708984e+02,5.120000000000000000e+02
