# score,moves,time,max_tile
2.868000000000000000e+03,2.480000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
2.540000000000000000e+03,2.110000000000000000e+02,4.699993133544921875e-02,2.560000000000000000e+02
7.400000000000000000e+02,9.700000000000000000e+01,1.900005340576171875e-02,6.400000000000000000e+01
2.920000000000000000e+03,2.510000000000000000e+02,5.200004577636718750e-02,2.560000000000000000e+02
1.812000000000000000e+03,1.880000000000000000e+02,4.399991035461425781e-02,1.280000000000000000e+02
3.488000000000000000e+03,2.920000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
1.924000000000000000e+03,1.840000000000000000e+02,2.500009536743164062e-02,1.280000000000000000e+02
1.948000000000000000e+03,2.050000000000000000e+02,2.499985694885253906e-02,1.280000000000000000e+02
1.760000000000000000e+03,1.800000000000000000e+02,2.800011634826660156e-02,1.280000000000000000e+02
8.040000000000000000e+02,9.900000000000000000e+01,1.699995994567871094e-02,6.400000000000000000e+01
3.948000000000000000e+03,3.230000000000000000e+02,5.900001525878906250e-02,2.560000000000000000e+02
3.148000000000000000e+03,2.610000000000000000e+02,5.200004577636718750e-02,2.560000000000000000e+02
1.860000000000000000e+03,1.900000000000000000e+02,3.200006484985351562e-02,1.280000000000000000e+02
2.216000000000000000e+03,2.090000000000000000e+02,3.499984741210937500e-02,1.280000000000000000e+02
2.460000000000000000e+03,2.120000000000000000e+02,3.500008583068847656e-02,2.560000000000000000e+02
1.176000000000000000e+03,1.410000000000000000e+02,2.300000190734863281e-02,6.400000000000000000e+01
1.664000000000000000e+03,1.680000000000000000e+02,3.299999237060546875e-02,1.280000000000000000e+02
5.368000000000000000e+03,3.730000000000000000e+02,7.699990272521972656e-02,5.120000000000000000e+02
3.912000000000000000e+03,3.240000000000000000e+02,5.500006675720214844e-02,2.560000000000000000e+02
2.720000000000000000e+03,2.330000000000000000e+02,4.299998283386230469e-02,2.560000000000000000e+02
1.200000000000000000e+03,1.290000000000000000e+02,2.500009536743164062e-02,1.280000000000000000e+02
2.872000000000000000e+03,2.550000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
3.276000000000000000e+03,2.770000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
3.372000000000000000e+03,2.790000000000000000e+02,5.500006675720214844e-02,2.560000000000000000e+02
3.556000000000000000e+03,3.020000000000000000e+02,5.699992179870605469e-02,2.560000000000000000e+02
6.200000000000000000e+02,8.600000000000000000e+01,1.500010490417480469e-02,6.400000000000000000e+01
2.812000000000000000e+03,2.460000000000000000e+02,4.799985885620117188e-02,2.560000000000000000e+02
2.536000000000000000e+03,2.210000000000000000e+02,4.400014877319335938e-02,2.560000000000000000e+02
1.812000000000000000e+03,1.830000000000000000e+02,3.499984741210937500e-02,1.280000000000000000e+02
1.796000000000000000e+03,1.850000000000000000e+02,2.700018882751464844e-02,1.280000000000000000e+02
3.120000000000000000e+03,2.570000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
9.680000000000000000e+02,1.150000000000000000e+02,2.099990844726562500e-02,6.400000000000000000e+01
4.380000000000000000e+03,3.650000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
1.608000000000000000e+03,1.690000000000000000e+02,3.400015830993652344e-02,1.280000000000000000e+02
1.468000000000000000e+03,1.540000000000000000e+02,3.099989891052246094e-02,1.280000000000000000e+02
2.540000000000000000e+03,2.160000000000000000e+02,4.200005531311035156e-02,2.560000000000000000e+02
1.364000000000000000e+03,1.410000000000000000e+02,2.699995040893554688e-02,1.280000000000000000e+02
2.860000000000000000e+03,2.480000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
3.240000000000000000e+02,5.800000000000000000e+01,1.100015640258789062e-02,3.200000000000000000e+01
2.776000000000000000e+03,2.370000000000000000e+02,2.799987792968750000e-02,2.560000000000000000e+02
3.176000000000000000e+03,2.630000000000000000e+02,4.999995231628417969e-02,2.560000000000000000e+02
2.344000000000000000e+03,1.980000000000000000e+02,3.900003433227539062e-02,2.560000000000000000e+02
1.744000000000000000e+03,1.760000000000000000e+02,3.500008583068847656e-02,1.280000000000000000e+02
