# score,moves,time,max_tile
2.328000000000000000e+03,1.960000000000000000e+02,1.619999408721923828e-01,2.560000000000000000e+02
3.960000000000000000e+03,3.250000000000000000e+02,2.569999694824218750e-01,2.560000000000000000e+02
2.504000000000000000e+03,2.170000000000000000e+02,1.700000762939453125e-01,2.560000000000000000e+02
1.900000000000000000e+03,1.940000000000000000e+02,1.429998874664306641e-01,1.280000000000000000e+02
2.900000000000000000e+03,2.510000000000000000e+02,1.809999942779541016e-01,2.560000000000000000e+02
3.244000000000000000e+03,2.670000000000000000e+02,1.800000667572021484e-01,2.560000000000000000e+02
1.608000000000000000e+03,1.690000000000000000e+02,1.140000820159912109e-01,1.280000000000000000e+02
1.664000000000000000e+03,1.780000000000000000e+02,1.339998245239257812e-01,1.280000000000000000e+02
1.524000000000000000e+03,1.530000000000000000e+02,1.050000190734863281e-01,1.280000000000000000e+02
2.216000000000000000e+03,2.050000000000000000e+02,1.470000743865966797e-01,1.280000000000000000e+02
1.796000000000000000e+03,1.840000000000000000e+02,1.380000114440917969e-01,1.280000000000000000e+02
3.200000000000000000e+03,2.620000000000000000e+02,2.000000476837158203e-01,2.560000000000000000e+02
3.504000000000000000e+03,2.950000000000000000e+02,2.239999771118164062e-01,2.560000000000000000e+02
1.604000000000000000e+03,1.670000000000000000e+02,9.099984169006347656e-02,1.280000000000000000e+02
1.812000000000000000e+03,1.880000000000000000e+02,1.390001773834228516e-01,1.280000000000000000e+02
2.772000000000000000e+03,2.380000000000000000e+02,1.480000019073486328e-01,2.560000000000000000e+02
5.320000000000000000e+02,7.300000000000000000e+01,4.600000381469726562e-02,6.400000000000000000e+01
2.476000000000000000e+03,2.110000000000000000e+02,1.480000019073486328e-01,2.560000000000000000e+02
1.736000000000000000e+03,1.800000000000000000e+02,1.280000209808349609e-01,1.280000000000000000e+02
5.680000000000000000e+02,7.700000000000000000e+01,6.499981880187988281e-02,6.400000000000000000e+01
1.740000000000000000e+03,1.720000000000000000e+02,1.370000839233398438e-01,1.280000000000000000e+02
2.528000000000000000e+03,2.130000000000000000e+02,2.650001049041748047e-01,2.560000000000000000e+02
7.760000000000000000e+02,9.400000000000000000e+01,8.599996566772460938e-02,6.400000000000000000e+01
3.212000000000000000e+03,2.710000000000000000e+02,2.569999694824218750e-01,2.560000000000000000e+02
1.320000000000000000e+03,1.350000000000000000e+02,1.229999065399169922e-01,1.280000000000000000e+02
1.740000000000000000e+03,1.750000000000000000e+02,1.549999713897705078e-01,1.280000000000000000e+02
1.792000000000000000e+03,1.790000000000000000e+02,1.430001258850097656e-01,1.280000000000000000e+02
2.816000000000000000e+03,2.470000000000000000e+02,1.849999427795410156e-01,2.560000000000000000e+02
1.456000000000000000e+03,1.520000000000000000e+02,1.050000190734863281e-01,1.280000000000000000e+02
1.904000000000000000e+03,1.940000000000000000e+02,1.440000534057617188e-01,1.280000000000000000e+02
2.784000000000000000e+03,2.390000000000000000e+02,1.619999408721923828e-01,2.560000000000000000e+02
3.264000000000000000e+03,2.740000000000000000e+02,1.989998817443847656e-01,2.560000000000000000e+02
2.052000000000000000e+03,2.040000000000000000e+02,1.300001144409179688e-01,1.280000000000000000e+02
3.160000000000000000e+03,2.580000000000000000e+02,1.909999847412109375e-01,2.560000000000000000e+02
4.008000000000000000e+03,3.310000000000000000e+02,3.150000572204589844e-01,2.560000000000000000e+02
3.036000000000000000e+03,2.580000000000000000e+02,2.309999465942382812e-01,2.560000000000000000e+02
2.540000000000000000e+03,2.130000000000000000e+02,1.930000782012939453e-01,2.560000000000000000e+02
3.832000000000000000e+03,3.240000000000000000e+02,2.790000438690185547e-01,2.560000000000000000e+02
3.364000000000000000e+03,2.770000000000000000e+02,2.249999046325683594e-01,2.560000000000000000e+02
1.048000000000000000e+03,1.200000000000000000e+02,8.899998664855957031e-02,6.400000000000000000e+01
2.184000000000000000e+03,2.050000000000000000e+02,1.470000743865966797e-01,1.280000000000000000e+02
1.532000000000000000e+03,1.600000000000000000e+02,1.269998550415039062e-01,1.280000000000000000e+02
7.120000000000000000e+02,9.600000000000000000e+01,6.000018119812011719e-02,6.400000000000000000e+01
3.792000000000000000e+03,3.050000000000000000e+02,1.839997768402099609e-01,2.560000000000000000e+02
2.136000000000000000e+03,1.990000000000000000e+02,1.430001258850097656e-01,1.280000000000000000e+02
1.780000000000000000e+03,1.790000000000000000e+02,1.270000934600830078e-01,1.280000000000000000e+02
1.168000000000000000e+03,1.350000000000000000e+02,9.199976921081542969e-02,6.400000000000000000e+01
3.984000000000000000e+03,3.300000000000000000e+02,2.230000495910644531e-01,2.560000000000000000e+02
1.720000000000000000e+03,1.710000000000000000e+02,9.300017356872558594e-02,1.280000000000000000e+02
1.948000000000000000e+03,1.900000000000000000e+02,1.019999980926513672e-01,1.280000000000000000e+02
2.812000000000000000e+03,2.460000000000000000e+02,1.279997825622558594e-01,2.560000000000000000e+02
5.920000000000000000e+02,8.200000000000000000e+01,5.300021171569824219e-02,6.400000000000000000e+01
2.656000000000000000e+03,2.210000000000000000e+02,1.349999904632568359e-01,2.560000000000000000e+02
3.180000000000000000e+03,2.640000000000000000e+02,1.659998893737792969e-01,2.560000000000000000e+02
1.512000000000000000e+03,1.610000000000000000e+02,6.999993324279785156e-02,1.280000000000000000e+02
3.256000000000000000e+03,2.770000000000000000e+02,1.640000343322753906e-01,2.560000000000000000e+02
1.032000000000000000e+03,1.230000000000000000e+02,7.299995422363281250e-02,6.400000000000000000e+01
3.732000000000000000e+03,3.160000000000000000e+02,2.020001411437988281e-01,2.560000000000000000e+02
4.772000000000000000e+03,3.320000000000000000e+02,2.549998760223388672e-01,5.120000000000000000e+02
2.124000000000000000e+03,2.100000000000000000e+02,1.100001335144042969e-01,1.280000000000000000e+02
3.160000000000000000e+02,5.800000000000000000e+01,4.799985885620117188e-02,3.200000000000000000e+01
3.780000000000000000e+03,3.060000000000000000e+02,2.000000476837158203e-01,2.560000000000000000e+02
2.504000000000000000e+03,2.150000000000000000e+02,1.560001373291015625e-01,2.560000000000000000e+02
