# score,moves,time,max_tile
1.168000000000000000e+04,6.820000000000000000e+02,6.619900000095367432e+02,1.024000000000000000e+03
6.560000000000000000e+03,4.510000000000000000e+02,4.597149999141693115e+02,5.120000000000000000e+02
3.640000000000000000e+03,3.090000000000000000e+02,3.050959999561309814e+02,2.560000000000000000e+02
7.092000000000000000e+03,4.890000000000000000e+02,4.867360000610351562e+02,5.120000000000000000e+02
3.444000000000000000e+03,2.870000000000000000e+02,3.913929998874664307e+02,2.560000000000000000e+02
5.024000000000000000e+03,3.520000000000000000e+02,4.226110000610351562e+02,5.120000000000000000e+02
3.404000000000000000e+03,2.860000000000000000e+02,3.251190001964569092e+02,2.560000000000000000e+02
6.872000000000000000e+03,4.670000000000000000e+02,2.861449999809265137e+02,5.120000000000000000e+02
1.148000000000000000e+04,6.730000000000000000e+02,4.996280000209808350e+02,1.024000000000000000e+03
3.724000000000000000e+03,2.940000000000000000e+02,3.037960000038146973e+02,2.560000000000000000e+02
3.840000000000000000e+03,3.150000000000000000e+02,3.499239997863769531e+02,2.560000000000000000e+02
3.432000000000000000e+03,2.920000000000000000e+02,3.329990000724792480e+02,2.560000000000000000e+02
6.808000000000000000e+03,4.800000000000000000e+02,3.489860000610351562e+02,5.120000000000000000e+02
1.836000000000000000e+03,1.840000000000000000e+02,2.897249999046325684e+02,1.280000000000000000e+02
1.356800000000000000e+04,7.650000000000000000e+02,5.684330000877380371e+02,1.024000000000000000e+03
5.128000000000000000e+03,3.940000000000000000e+02,3.653859999179840088e+02,2.560000000000000000e+02
7.132000000000000000e+03,4.830000000000000000e+02,4.580600001811981201e+02,5.120000000000000000e+02
1.109200000000000000e+04,6.570000000000000000e+02,5.769059998989105225e+02,1.024000000000000000e+03
6.072000000000000000e+03,4.260000000000000000e+02,5.174530000686645508e+02,5.120000000000000000e+02
7.336000000000000000e+03,4.910000000000000000e+02,4.433750000000000000e+02,5.120000000000000000e+02
8.500000000000000000e+03,5.350000000000000000e+02,4.780460000038146973e+02,5.120000000000000000e+02
7.280000000000000000e+03,4.980000000000000000e+02,4.008299999237060547e+02,5.120000000000000000e+02
8.000000000000000000e+03,5.480000000000000000e+02,4.603080000877380371e+02,5.120000000000000000e+02
3.340000000000000000e+03,2.810000000000000000e+02,3.495899999141693115e+02,2.560000000000000000e+02
1.429200000000000000e+04,8.170000000000000000e+02,6.451960000991821289e+02,1.024000000000000000e+03
