# score,moves,time,max_tile
1.356000000000000000e+03,1.410000000000000000e+02,2.699995040893554688e-02,1.280000000000000000e+02
5.320000000000000000e+02,7.800000000000000000e+01,1.500010490417480469e-02,6.400000000000000000e+01
1.252000000000000000e+03,1.240000000000000000e+02,2.399992942810058594e-02,1.280000000000000000e+02
1.216000000000000000e+03,1.290000000000000000e+02,2.100014686584472656e-02,1.280000000000000000e+02
1.020000000000000000e+03,1.090000000000000000e+02,1.599979400634765625e-02,1.280000000000000000e+02
1.028000000000000000e+03,1.110000000000000000e+02,1.900005340576171875e-02,1.280000000000000000e+02
5.400000000000000000e+02,7.500000000000000000e+01,1.299977302551269531e-02,6.400000000000000000e+01
1.040000000000000000e+03,1.110000000000000000e+02,2.200007438659667969e-02,1.280000000000000000e+02
9.840000000000000000e+02,1.060000000000000000e+02,1.900005340576171875e-02,1.280000000000000000e+02
5.840000000000000000e+02,8.200000000000000000e+01,2.099990844726562500e-02,6.400000000000000000e+01
1.048000000000000000e+03,1.130000000000000000e+02,2.100014686584472656e-02,1.280000000000000000e+02
1.504000000000000000e+03,1.510000000000000000e+02,2.799987792968750000e-02,1.280000000000000000e+02
6.400000000000000000e+02,8.600000000000000000e+01,1.600003242492675781e-02,6.400000000000000000e+01
7.560000000000000000e+02,9.300000000000000000e+01,1.699995994567871094e-02,6.400000000000000000e+01
1.332000000000000000e+03,1.390000000000000000e+02,2.600002288818359375e-02,1.280000000000000000e+02
8.800000000000000000e+02,1.070000000000000000e+02,1.500010490417480469e-02,6.400000000000000000e+01
1.428000000000000000e+03,1.460000000000000000e+02,2.699995040893554688e-02,1.280000000000000000e+02
5.720000000000000000e+02,7.800000000000000000e+01,1.499986648559570312e-02,6.400000000000000000e+01
2.052000000000000000e+03,1.710000000000000000e+02,2.400016784667968750e-02,2.560000000000000000e+02
2.048000000000000000e+03,1.700000000000000000e+02,3.099989891052246094e-02,2.560000000000000000e+02
6.640000000000000000e+02,8.900000000000000000e+01,1.800012588500976562e-02,6.400000000000000000e+01
2.308000000000000000e+03,1.910000000000000000e+02,3.600001335144042969e-02,2.560000000000000000e+02
6.880000000000000000e+02,9.000000000000000000e+01,1.699995994567871094e-02,6.400000000000000000e+01
4.280000000000000000e+02,7.000000000000000000e+01,1.300001144409179688e-02,3.200000000000000000e+01
1.388000000000000000e+03,1.410000000000000000e+02,2.799987792968750000e-02,1.280000000000000000e+02
1.308000000000000000e+03,1.330000000000000000e+02,2.400016784667968750e-02,1.280000000000000000e+02
1.304000000000000000e+03,1.330000000000000000e+02,2.399992942810058594e-02,1.280000000000000000e+02
3.600000000000000000e+02,6.100000000000000000e+01,1.199984550476074219e-02,3.200000000000000000e+01
2.056000000000000000e+03,1.750000000000000000e+02,2.900004386901855469e-02,2.560000000000000000e+02
8.200000000000000000e+02,1.030000000000000000e+02,2.100014686584472656e-02,6.400000000000000000e+01
1.044000000000000000e+03,1.120000000000000000e+02,1.899981498718261719e-02,1.280000000000000000e+02
6.440000000000000000e+02,9.000000000000000000e+01,1.200008392333984375e-02,6.400000000000000000e+01
1.060000000000000000e+03,1.150000000000000000e+02,1.800012588500976562e-02,1.280000000000000000e+02
5.440000000000000000e+02,7.500000000000000000e+01,1.499986648559570312e-02,6.400000000000000000e+01
3.640000000000000000e+02,6.300000000000000000e+01,1.200008392333984375e-02,3.200000000000000000e+01
1.504000000000000000e+03,1.570000000000000000e+02,3.099989891052246094e-02,1.280000000000000000e+02
9.320000000000000000e+02,1.140000000000000000e+02,2.100014686584472656e-02,6.400000000000000000e+01
7.240000000000000000e+02,9.800000000000000000e+01,1.599979400634765625e-02,6.400000000000000000e+01
7.400000000000000000e+02,9.900000000000000000e+01,1.600003242492675781e-02,6.400000000000000000e+01
1.240000000000000000e+03,1.310000000000000000e+02,2.200007438659667969e-02,1.280000000000000000e+02
5.440000000000000000e+02,7.500000000000000000e+01,1.200008392333984375e-02,6.400000000000000000e+01
1.468000000000000000e+03,1.550000000000000000e+02,2.999997138977050781e-02,1.280000000000000000e+02
8.880000000000000000e+02,1.090000000000000000e+02,1.699995994567871094e-02,6.400000000000000000e+01
1.168000000000000000e+03,1.290000000000000000e+02,1.999998092651367188e-02,1.280000000000000000e+02
1.252000000000000000e+03,1.360000000000000000e+02,2.200007438659667969e-02,1.280000000000000000e+02
