# score,moves,time,max_tile
7.256000000000000000e+03,5.100000000000000000e+02,5.133659999370574951e+02,5.120000000000000000e+02
5.632000000000000000e+03,4.070000000000000000e+02,3.880789999961853027e+02,5.120000000000000000e+02
6.052000000000000000e+03,4.210000000000000000e+02,3.290520000457763672e+02,5.120000000000000000e+02
5.580000000000000000e+03,3.900000000000000000e+02,3.633810000419616699e+02,5.120000000000000000e+02
1.078400000000000000e+04,6.210000000000000000e+02,5.182390000820159912e+02,1.024000000000000000e+03
1.668000000000000000e+03,1.690000000000000000e+02,2.082569999694824219e+02,1.280000000000000000e+02
7.128000000000000000e+03,5.280000000000000000e+02,3.730329999923706055e+02,2.560000000000000000e+02
4.692000000000000000e+03,3.280000000000000000e+02,4.088299999237060547e+02,5.120000000000000000e+02
3.344000000000000000e+03,2.760000000000000000e+02,2.981150000095367432e+02,2.560000000000000000e+02
5.776000000000000000e+03,4.140000000000000000e+02,4.346679999828338623e+02,5.120000000000000000e+02
2.876000000000000000e+03,2.310000000000000000e+02,3.915000000000000000e+02,2.560000000000000000e+02
7.372000000000000000e+03,4.990000000000000000e+02,3.476119999885559082e+02,5.120000000000000000e+02
9.388000000000000000e+03,6.450000000000000000e+02,3.899460000991821289e+02,5.120000000000000000e+02
2.424000000000000000e+03,2.230000000000000000e+02,3.315249998569488525e+02,1.280000000000000000e+02
1.057200000000000000e+04,6.160000000000000000e+02,4.797430000305175781e+02,1.024000000000000000e+03
3.140000000000000000e+03,2.540000000000000000e+02,2.274270000457763672e+02,2.560000000000000000e+02
7.408000000000000000e+03,5.150000000000000000e+02,3.263599998950958252e+02,5.120000000000000000e+02
5.608000000000000000e+03,4.000000000000000000e+02,3.154480001926422119e+02,5.120000000000000000e+02
2.936000000000000000e+03,2.650000000000000000e+02,2.830829999446868896e+02,1.280000000000000000e+02
1.708000000000000000e+03,1.800000000000000000e+02,2.913700001239776611e+02,1.280000000000000000e+02
7.012000000000000000e+03,4.840000000000000000e+02,2.927679998874664307e+02,5.120000000000000000e+02
3.504000000000000000e+03,2.970000000000000000e+02,4.261830000877380371e+02,2.560000000000000000e+02
6.052000000000000000e+03,4.220000000000000000e+02,4.471419999599456787e+02,5.120000000000000000e+02
2.708000000000000000e+03,2.300000000000000000e+02,3.410620000362396240e+02,2.560000000000000000e+02
2.068000000000000000e+03,1.900000000000000000e+02,2.768039999008178711e+02,1.280000000000000000e+02
2.420000000000000000e+03,2.280000000000000000e+02,3.378480000495910645e+02,1.280000000000000000e+02
7.528000000000000000e+03,5.300000000000000000e+02,3.594409999847412109e+02,5.120000000000000000e+02
8.652000000000000000e+03,5.420000000000000000e+02,4.391900000572204590e+02,5.120000000000000000e+02
2.744000000000000000e+03,2.340000000000000000e+02,3.048269999027252197e+02,2.560000000000000000e+02
4.892000000000000000e+03,3.710000000000000000e+02,4.258020000457763672e+02,2.560000000000000000e+02
1.640000000000000000e+03,1.620000000000000000e+02,2.015179998874664307e+02,1.280000000000000000e+02
3.456000000000000000e+03,2.880000000000000000e+02,3.367940001487731934e+02,2.560000000000000000e+02
3.388000000000000000e+03,2.800000000000000000e+02,4.244849998950958252e+02,2.560000000000000000e+02
1.290400000000000000e+04,7.440000000000000000e+02,5.089359998703002930e+02,1.024000000000000000e+03
7.292000000000000000e+03,5.070000000000000000e+02,4.893380000591278076e+02,5.120000000000000000e+02
2.360000000000000000e+03,2.210000000000000000e+02,2.701559998989105225e+02,1.280000000000000000e+02
5.796000000000000000e+03,4.070000000000000000e+02,3.705230000019073486e+02,5.120000000000000000e+02
2.628000000000000000e+03,2.510000000000000000e+02,2.310800001621246338e+02,1.280000000000000000e+02
4.348000000000000000e+03,3.320000000000000000e+02,2.640539999008178711e+02,2.560000000000000000e+02
7.340000000000000000e+03,5.120000000000000000e+02,3.003469998836517334e+02,5.120000000000000000e+02
3.520000000000000000e+03,2.950000000000000000e+02,2.216270000934600830e+02,2.560000000000000000e+02
1.096000000000000000e+03,1.300000000000000000e+02,2.310650000572204590e+02,6.400000000000000000e+01
5.684000000000000000e+03,3.980000000000000000e+02,3.511540000438690186e+02,5.120000000000000000e+02
6.744000000000000000e+03,4.480000000000000000e+02,3.880789999961853027e+02,5.120000000000000000e+02
1.728000000000000000e+03,1.630000000000000000e+02,2.706749999523162842e+02,1.280000000000000000e+02
2.168000000000000000e+03,2.020000000000000000e+02,2.589140000343322754e+02,1.280000000000000000e+02
4.108000000000000000e+03,3.150000000000000000e+02,4.309129998683929443e+02,2.560000000000000000e+02
6.776000000000000000e+03,4.590000000000000000e+02,4.040740001201629639e+02,5.120000000000000000e+02
3.744000000000000000e+03,2.990000000000000000e+02,4.006119999885559082e+02,2.560000000000000000e+02
6.628000000000000000e+03,4.540000000000000000e+02,4.947590000629425049e+02,5.120000000000000000e+02
2.612000000000000000e+03,2.240000000000000000e+02,2.051759998798370361e+02,1.280000000000000000e+02
1.175600000000000000e+04,7.000000000000000000e+02,4.336940000057220459e+02,1.024000000000000000e+03
2.004000000000000000e+03,1.820000000000000000e+02,2.959230000972747803e+02,1.280000000000000000e+02
4.728000000000000000e+03,3.580000000000000000e+02,2.891429998874664307e+02,2.560000000000000000e+02
1.224000000000000000e+03,1.280000000000000000e+02,1.892769999504089355e+02,1.280000000000000000e+02
3.432000000000000000e+03,2.830000000000000000e+02,3.103029999732971191e+02,2.560000000000000000e+02
4.596000000000000000e+03,3.150000000000000000e+02,3.517530000209808350e+02,5.120000000000000000e+02
5.448000000000000000e+03,3.780000000000000000e+02,4.181900000572204590e+02,5.120000000000000000e+02
2.624000000000000000e+03,2.350000000000000000e+02,2.325690000057220459e+02,1.280000000000000000e+02
5.584000000000000000e+03,3.930000000000000000e+02,4.480870001316070557e+02,5.120000000000000000e+02
7.624000000000000000e+03,5.260000000000000000e+02,4.881639997959136963e+02,5.120000000000000000e+02
4.152000000000000000e+03,3.400000000000000000e+02,4.277500000000000000e+02,2.560000000000000000e+02
2.568000000000000000e+03,2.290000000000000000e+02,3.678930001258850098e+02,1.280000000000000000e+02
2.280000000000000000e+03,2.040000000000000000e+02,3.165109999179840088e+02,1.280000000000000000e+02
5.200000000000000000e+03,3.600000000000000000e+02,3.192479999065399170e+02,5.120000000000000000e+02
6.660000000000000000e+03,4.610000000000000000e+02,4.476310000419616699e+02,5.120000000000000000e+02
2.068000000000000000e+03,1.900000000000000000e+02,3.168929998874664307e+02,1.280000000000000000e+02
1.060000000000000000e+04,6.250000000000000000e+02,4.578370001316070557e+02,1.024000000000000000e+03
5.772000000000000000e+03,4.100000000000000000e+02,2.978680000305175781e+02,5.120000000000000000e+02
3.500000000000000000e+03,2.960000000000000000e+02,3.399849998950958252e+02,2.560000000000000000e+02
7.404000000000000000e+03,5.070000000000000000e+02,3.503359999656677246e+02,5.120000000000000000e+02
3.648000000000000000e+03,3.070000000000000000e+02,2.408389999866485596e+02,2.560000000000000000e+02
3.808000000000000000e+03,3.090000000000000000e+02,3.442230000495910645e+02,2.560000000000000000e+02
1.456000000000000000e+03,1.490000000000000000e+02,1.616989998817443848e+02,1.280000000000000000e+02
4.048000000000000000e+03,3.260000000000000000e+02,3.938289999961853027e+02,2.560000000000000000e+02
4.404000000000000000e+03,3.450000000000000000e+02,3.160630002021789551e+02,2.560000000000000000e+02
2.112000000000000000e+03,2.000000000000000000e+02,3.131749999523162842e+02,1.280000000000000000e+02
3.112000000000000000e+03,2.500000000000000000e+02,3.640109999179840088e+02,2.560000000000000000e+02
3.572000000000000000e+03,3.030000000000000000e+02,3.141449999809265137e+02,2.560000000000000000e+02
4.136000000000000000e+03,3.170000000000000000e+02,3.040420000553131104e+02,2.560000000000000000e+02
6.524000000000000000e+03,4.480000000000000000e+02,3.847160000801086426e+02,5.120000000000000000e+02
3.448000000000000000e+03,2.870000000000000000e+02,3.304269998073577881e+02,2.560000000000000000e+02
2.572000000000000000e+03,2.430000000000000000e+02,3.459590001106262207e+02,1.280000000000000000e+02
5.516000000000000000e+03,3.940000000000000000e+02,5.014909999370574951e+02,5.120000000000000000e+02
3.512000000000000000e+03,2.930000000000000000e+02,3.837870001792907715e+02,2.560000000000000000e+02
7.252000000000000000e+03,4.970000000000000000e+02,4.010899999141693115e+02,5.120000000000000000e+02
7.532000000000000000e+03,5.130000000000000000e+02,4.536459999084472656e+02,5.120000000000000000e+02
1.112000000000000000e+04,6.790000000000000000e+02,4.217550001144409180e+02,1.024000000000000000e+03
4.108000000000000000e+03,3.350000000000000000e+02,2.047109999656677246e+02,2.560000000000000000e+02
5.320000000000000000e+03,4.050000000000000000e+02,2.312379999160766602e+02,2.560000000000000000e+02
5.272000000000000000e+03,3.600000000000000000e+02,2.161419999599456787e+02,5.120000000000000000e+02
3.160000000000000000e+03,2.630000000000000000e+02,2.354380002021789551e+02,2.560000000000000000e+02
3.992000000000000000e+03,3.030000000000000000e+02,2.660619997978210449e+02,2.560000000000000000e+02
3.056000000000000000e+03,2.530000000000000000e+02,2.833810000419616699e+02,2.560000000000000000e+02
1.042800000000000000e+04,6.090000000000000000e+02,3.449630000591278076e+02,1.024000000000000000e+03
9.124000000000000000e+03,5.800000000000000000e+02,3.689790000915527344e+02,5.120000000000000000e+02
3.356000000000000000e+03,2.850000000000000000e+02,2.486329998970031738e+02,2.560000000000000000e+02
4.968000000000000000e+03,3.890000000000000000e+02,3.130559999942779541e+02,2.560000000000000000e+02
3.048000000000000000e+03,2.460000000000000000e+02,2.197660000324249268e+02,2.560000000000000000e+02
6.516000000000000000e+03,4.530000000000000000e+02,3.299779999256134033e+02,5.120000000000000000e+02
