# score,moves,time,max_tile
3.060000000000000000e+03,2.510000000000000000e+02,1.169998645782470703e-01,2.560000000000000000e+02
1.852000000000000000e+03,1.930000000000000000e+02,1.029999256134033203e-01,1.280000000000000000e+02
4.416000000000000000e+03,3.690000000000000000e+02,1.840000152587890625e-01,2.560000000000000000e+02
1.804000000000000000e+03,1.870000000000000000e+02,8.000016212463378906e-02,1.280000000000000000e+02
1.728000000000000000e+03,1.760000000000000000e+02,9.799981117248535156e-02,1.280000000000000000e+02
1.112000000000000000e+03,1.280000000000000000e+02,7.899999618530273438e-02,6.400000000000000000e+01
1.900000000000000000e+03,1.940000000000000000e+02,1.050000190734863281e-01,1.280000000000000000e+02
1.544000000000000000e+03,1.540000000000000000e+02,5.900001525878906250e-02,1.280000000000000000e+02
2.560000000000000000e+03,2.210000000000000000e+02,1.210000514984130859e-01,2.560000000000000000e+02
1.956000000000000000e+03,1.970000000000000000e+02,7.700014114379882812e-02,1.280000000000000000e+02
1.680000000000000000e+03,1.720000000000000000e+02,9.299993515014648438e-02,1.280000000000000000e+02
5.876000000000000000e+03,4.040000000000000000e+02,2.009999752044677734e-01,5.120000000000000000e+02
1.688000000000000000e+03,1.740000000000000000e+02,1.140000820159912109e-01,1.280000000000000000e+02
3.348000000000000000e+03,2.840000000000000000e+02,1.139998435974121094e-01,2.560000000000000000e+02
3.576000000000000000e+03,3.080000000000000000e+02,1.720001697540283203e-01,2.560000000000000000e+02
1.804000000000000000e+03,1.860000000000000000e+02,1.049997806549072266e-01,1.280000000000000000e+02
1.148000000000000000e+03,1.360000000000000000e+02,6.400012969970703125e-02,6.400000000000000000e+01
2.500000000000000000e+03,2.170000000000000000e+02,1.099998950958251953e-01,2.560000000000000000e+02
1.632000000000000000e+03,1.740000000000000000e+02,9.300017356872558594e-02,1.280000000000000000e+02
1.136000000000000000e+03,1.220000000000000000e+02,4.799985885620117188e-02,1.280000000000000000e+02
2.896000000000000000e+03,2.510000000000000000e+02,1.360001564025878906e-01,2.560000000000000000e+02
1.756000000000000000e+03,1.790000000000000000e+02,7.699990272521972656e-02,1.280000000000000000e+02
1.824000000000000000e+03,1.860000000000000000e+02,9.899997711181640625e-02,1.280000000000000000e+02
3.568000000000000000e+03,2.880000000000000000e+02,1.510000228881835938e-01,2.560000000000000000e+02
1.600000000000000000e+03,1.570000000000000000e+02,8.599996566772460938e-02,1.280000000000000000e+02
3.632000000000000000e+03,3.090000000000000000e+02,1.459999084472656250e-01,2.560000000000000000e+02
4.560000000000000000e+02,7.500000000000000000e+01,4.400014877319335938e-02,3.200000000000000000e+01
3.652000000000000000e+03,2.980000000000000000e+02,1.499998569488525391e-01,2.560000000000000000e+02
4.088000000000000000e+03,3.290000000000000000e+02,1.690001487731933594e-01,2.560000000000000000e+02
2.628000000000000000e+03,2.310000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
1.332000000000000000e+03,1.360000000000000000e+02,6.999993324279785156e-02,1.280000000000000000e+02
3.280000000000000000e+03,2.680000000000000000e+02,1.410000324249267578e-01,2.560000000000000000e+02
2.736000000000000000e+03,2.320000000000000000e+02,1.219999790191650391e-01,2.560000000000000000e+02
2.224000000000000000e+03,2.110000000000000000e+02,9.599995613098144531e-02,1.280000000000000000e+02
1.896000000000000000e+03,1.930000000000000000e+02,9.700012207031250000e-02,1.280000000000000000e+02
1.812000000000000000e+03,1.880000000000000000e+02,8.800005912780761719e-02,1.280000000000000000e+02
3.852000000000000000e+03,3.050000000000000000e+02,1.670000553131103516e-01,2.560000000000000000e+02
2.692000000000000000e+03,2.330000000000000000e+02,1.199998855590820312e-01,2.560000000000000000e+02
1.296000000000000000e+03,1.340000000000000000e+02,7.500004768371582031e-02,1.280000000000000000e+02
2.100000000000000000e+03,1.980000000000000000e+02,1.019999980926513672e-01,1.280000000000000000e+02
6.720000000000000000e+02,9.000000000000000000e+01,4.499983787536621094e-02,6.400000000000000000e+01
1.540000000000000000e+03,1.640000000000000000e+02,8.700013160705566406e-02,1.280000000000000000e+02
1.472000000000000000e+03,1.600000000000000000e+02,8.399987220764160156e-02,1.280000000000000000e+02
5.316000000000000000e+03,3.660000000000000000e+02,1.860001087188720703e-01,5.120000000000000000e+02
3.252000000000000000e+03,2.750000000000000000e+02,1.259999275207519531e-01,2.560000000000000000e+02
3.044000000000000000e+03,2.510000000000000000e+02,1.590001583099365234e-01,2.560000000000000000e+02
1.496000000000000000e+03,1.580000000000000000e+02,7.499980926513671875e-02,1.280000000000000000e+02
1.648000000000000000e+03,1.660000000000000000e+02,9.700012207031250000e-02,1.280000000000000000e+02
1.380000000000000000e+03,1.460000000000000000e+02,6.800007820129394531e-02,1.280000000000000000e+02
2.412000000000000000e+03,2.070000000000000000e+02,9.699988365173339844e-02,2.560000000000000000e+02
6.316000000000000000e+03,4.450000000000000000e+02,2.479999065399169922e-01,5.120000000000000000e+02
2.228000000000000000e+03,1.830000000000000000e+02,9.400010108947753906e-02,2.560000000000000000e+02
2.224000000000000000e+03,2.020000000000000000e+02,1.159999370574951172e-01,1.280000000000000000e+02
5.640000000000000000e+03,3.980000000000000000e+02,2.070000171661376953e-01,5.120000000000000000e+02
3.960000000000000000e+03,3.240000000000000000e+02,1.710000038146972656e-01,2.560000000000000000e+02
3.280000000000000000e+03,2.780000000000000000e+02,1.440000534057617188e-01,2.560000000000000000e+02
2.804000000000000000e+03,2.440000000000000000e+02,1.110000610351562500e-01,2.560000000000000000e+02
3.904000000000000000e+03,3.220000000000000000e+02,1.679999828338623047e-01,2.560000000000000000e+02
2.428000000000000000e+03,2.050000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
7.520000000000000000e+02,9.000000000000000000e+01,4.699993133544921875e-02,6.400000000000000000e+01
1.272000000000000000e+03,1.300000000000000000e+02,6.800007820129394531e-02,1.280000000000000000e+02
7.360000000000000000e+02,9.700000000000000000e+01,3.800010681152343750e-02,6.400000000000000000e+01
5.972000000000000000e+03,4.230000000000000000e+02,2.209999561309814453e-01,5.120000000000000000e+02
2.868000000000000000e+03,2.470000000000000000e+02,1.389999389648437500e-01,2.560000000000000000e+02
2.888000000000000000e+03,2.380000000000000000e+02,1.329998970031738281e-01,2.560000000000000000e+02
9.200000000000000000e+02,1.120000000000000000e+02,6.399989128112792969e-02,6.400000000000000000e+01
1.216000000000000000e+03,1.270000000000000000e+02,7.700014114379882812e-02,1.280000000000000000e+02
1.848000000000000000e+03,1.860000000000000000e+02,8.299994468688964844e-02,1.280000000000000000e+02
2.412000000000000000e+03,2.070000000000000000e+02,1.329998970031738281e-01,2.560000000000000000e+02
9.600000000000000000e+02,1.140000000000000000e+02,5.599999427795410156e-02,6.400000000000000000e+01
1.036000000000000000e+03,1.110000000000000000e+02,5.000019073486328125e-02,1.280000000000000000e+02
2.708000000000000000e+03,2.560000000000000000e+02,1.359999179840087891e-01,1.280000000000000000e+02
8.720000000000000000e+02,1.140000000000000000e+02,5.099987983703613281e-02,6.400000000000000000e+01
2.368000000000000000e+03,2.160000000000000000e+02,1.240000724792480469e-01,1.280000000000000000e+02
1.312000000000000000e+03,1.430000000000000000e+02,6.900000572204589844e-02,1.280000000000000000e+02
2.760000000000000000e+03,2.380000000000000000e+02,1.210000514984130859e-01,2.560000000000000000e+02
1.212000000000000000e+03,1.350000000000000000e+02,6.500005722045898438e-02,6.400000000000000000e+01
2.892000000000000000e+03,2.490000000000000000e+02,1.269998550415039062e-01,2.560000000000000000e+02
1.204000000000000000e+03,1.330000000000000000e+02,6.299996376037597656e-02,6.400000000000000000e+01
1.680000000000000000e+03,1.720000000000000000e+02,1.210000514984130859e-01,1.280000000000000000e+02
