# score,moves,time,max_tile
6.640000000000000000e+02,9.100000000000000000e+01,1.749999523162841797e-01,6.400000000000000000e+01
3.248000000000000000e+03,2.750000000000000000e+02,5.510001182556152344e-01,2.560000000000000000e+02
2.540000000000000000e+03,2.150000000000000000e+02,4.319999217987060547e-01,2.560000000000000000e+02
1.804000000000000000e+03,1.870000000000000000e+02,3.970000743865966797e-01,1.280000000000000000e+02
3.212000000000000000e+03,2.670000000000000000e+02,5.189998149871826172e-01,2.560000000000000000e+02
1.828000000000000000e+03,1.920000000000000000e+02,3.560001850128173828e-01,1.280000000000000000e+02
7.120000000000000000e+02,9.500000000000000000e+01,1.809999942779541016e-01,6.400000000000000000e+01
2.172000000000000000e+03,2.140000000000000000e+02,4.229998588562011719e-01,1.280000000000000000e+02
1.728000000000000000e+03,1.720000000000000000e+02,3.420000076293945312e-01,1.280000000000000000e+02
1.816000000000000000e+03,1.890000000000000000e+02,3.659999370574951172e-01,1.280000000000000000e+02
3.252000000000000000e+03,2.710000000000000000e+02,5.199999809265136719e-01,2.560000000000000000e+02
3.760000000000000000e+03,3.080000000000000000e+02,5.990002155303955078e-01,2.560000000000000000e+02
3.412000000000000000e+03,2.840000000000000000e+02,5.839998722076416016e-01,2.560000000000000000e+02
6.480000000000000000e+02,8.500000000000000000e+01,1.860001087188720703e-01,6.400000000000000000e+01
3.016000000000000000e+03,2.530000000000000000e+02,5.089998245239257812e-01,2.560000000000000000e+02
3.012000000000000000e+03,2.490000000000000000e+02,5.020000934600830078e-01,2.560000000000000000e+02
1.896000000000000000e+03,1.820000000000000000e+02,3.619999885559082031e-01,1.280000000000000000e+02
1.700000000000000000e+03,1.710000000000000000e+02,3.570001125335693359e-01,1.280000000000000000e+02
9.880000000000000000e+02,1.070000000000000000e+02,2.059998512268066406e-01,1.280000000000000000e+02
3.528000000000000000e+03,3.010000000000000000e+02,6.140000820159912109e-01,2.560000000000000000e+02
3.280000000000000000e+02,6.000000000000000000e+01,1.250000000000000000e-01,3.200000000000000000e+01
3.788000000000000000e+03,3.130000000000000000e+02,6.579999923706054688e-01,2.560000000000000000e+02
2.344000000000000000e+03,2.140000000000000000e+02,4.029998779296875000e-01,1.280000000000000000e+02
2.804000000000000000e+03,2.430000000000000000e+02,4.610002040863037109e-01,2.560000000000000000e+02
1.316000000000000000e+03,1.490000000000000000e+02,3.019998073577880859e-01,6.400000000000000000e+01
4.068000000000000000e+03,3.350000000000000000e+02,6.360001564025878906e-01,2.560000000000000000e+02
3.592000000000000000e+03,2.920000000000000000e+02,4.869999885559082031e-01,2.560000000000000000e+02
1.148000000000000000e+03,1.220000000000000000e+02,1.889998912811279297e-01,1.280000000000000000e+02
2.048000000000000000e+03,1.910000000000000000e+02,3.600001335144042969e-01,1.280000000000000000e+02
2.472000000000000000e+03,2.290000000000000000e+02,4.440000057220458984e-01,1.280000000000000000e+02
9.720000000000000000e+02,1.030000000000000000e+02,2.009999752044677734e-01,1.280000000000000000e+02
3.088000000000000000e+03,2.520000000000000000e+02,4.279999732971191406e-01,2.560000000000000000e+02
1.796000000000000000e+03,1.840000000000000000e+02,3.099999427795410156e-01,1.280000000000000000e+02
3.084000000000000000e+03,2.550000000000000000e+02,4.690001010894775391e-01,2.560000000000000000e+02
1.556000000000000000e+03,1.640000000000000000e+02,2.760000228881835938e-01,1.280000000000000000e+02
3.256000000000000000e+03,2.770000000000000000e+02,4.609999656677246094e-01,2.560000000000000000e+02
2.796000000000000000e+03,2.410000000000000000e+02,4.110000133514404297e-01,2.560000000000000000e+02
3.292000000000000000e+03,2.740000000000000000e+02,5.009999275207519531e-01,2.560000000000000000e+02
3.276000000000000000e+03,2.740000000000000000e+02,4.739999771118164062e-01,2.560000000000000000e+02
5.520000000000000000e+02,7.700000000000000000e+01,1.200001239776611328e-01,6.400000000000000000e+01
7.040000000000000000e+02,9.300000000000000000e+01,1.549999713897705078e-01,6.400000000000000000e+01
1.384000000000000000e+03,1.400000000000000000e+02,2.179999351501464844e-01,1.280000000000000000e+02
