# score,moves,time,max_tile
5.728000000000000000e+03,4.080000000000000000e+02,1.349999904632568359e-01,5.120000000000000000e+02
2.556000000000000000e+03,2.390000000000000000e+02,7.800006866455078125e-02,1.280000000000000000e+02
8.280000000000000000e+02,1.040000000000000000e+02,3.399991989135742188e-02,6.400000000000000000e+01
1.808000000000000000e+03,1.870000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
1.612000000000000000e+03,1.700000000000000000e+02,5.500006675720214844e-02,1.280000000000000000e+02
2.140000000000000000e+03,2.140000000000000000e+02,7.200002670288085938e-02,1.280000000000000000e+02
1.620000000000000000e+03,1.720000000000000000e+02,5.699992179870605469e-02,1.280000000000000000e+02
3.480000000000000000e+03,2.900000000000000000e+02,9.599995613098144531e-02,2.560000000000000000e+02
5.548000000000000000e+03,3.970000000000000000e+02,1.310000419616699219e-01,5.120000000000000000e+02
1.868000000000000000e+03,1.900000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
2.948000000000000000e+03,2.630000000000000000e+02,8.599996566772460938e-02,2.560000000000000000e+02
4.228000000000000000e+03,3.470000000000000000e+02,1.140000820159912109e-01,2.560000000000000000e+02
2.532000000000000000e+03,2.400000000000000000e+02,7.799983024597167969e-02,1.280000000000000000e+02
1.076000000000000000e+03,1.320000000000000000e+02,4.299998283386230469e-02,6.400000000000000000e+01
3.640000000000000000e+03,2.980000000000000000e+02,9.800004959106445312e-02,2.560000000000000000e+02
7.840000000000000000e+02,1.040000000000000000e+02,3.400015830993652344e-02,6.400000000000000000e+01
1.532000000000000000e+03,1.550000000000000000e+02,5.099987983703613281e-02,1.280000000000000000e+02
3.096000000000000000e+03,2.550000000000000000e+02,8.500003814697265625e-02,2.560000000000000000e+02
2.628000000000000000e+03,2.470000000000000000e+02,8.100008964538574219e-02,1.280000000000000000e+02
3.284000000000000000e+03,2.720000000000000000e+02,8.999991416931152344e-02,2.560000000000000000e+02
4.196000000000000000e+03,3.440000000000000000e+02,1.119999885559082031e-01,2.560000000000000000e+02
2.564000000000000000e+03,2.210000000000000000e+02,7.399988174438476562e-02,2.560000000000000000e+02
3.556000000000000000e+03,2.960000000000000000e+02,9.700012207031250000e-02,2.560000000000000000e+02
1.424000000000000000e+03,1.540000000000000000e+02,5.099987983703613281e-02,1.280000000000000000e+02
1.896000000000000000e+03,1.920000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
1.656000000000000000e+03,1.660000000000000000e+02,5.500006675720214844e-02,1.280000000000000000e+02
1.472000000000000000e+03,1.520000000000000000e+02,5.100011825561523438e-02,1.280000000000000000e+02
2.216000000000000000e+03,1.900000000000000000e+02,6.299996376037597656e-02,2.560000000000000000e+02
1.752000000000000000e+03,1.770000000000000000e+02,5.999994277954101562e-02,1.280000000000000000e+02
3.260000000000000000e+03,2.770000000000000000e+02,9.599995613098144531e-02,2.560000000000000000e+02
5.760000000000000000e+02,7.900000000000000000e+01,2.600002288818359375e-02,6.400000000000000000e+01
5.492000000000000000e+03,3.820000000000000000e+02,1.280000209808349609e-01,5.120000000000000000e+02
1.936000000000000000e+03,2.010000000000000000e+02,6.599998474121093750e-02,1.280000000000000000e+02
1.552000000000000000e+03,1.600000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
1.908000000000000000e+03,1.950000000000000000e+02,6.500005722045898438e-02,1.280000000000000000e+02
5.976000000000000000e+03,4.180000000000000000e+02,1.399998664855957031e-01,5.120000000000000000e+02
2.188000000000000000e+03,1.880000000000000000e+02,6.300020217895507812e-02,2.560000000000000000e+02
4.048000000000000000e+03,3.340000000000000000e+02,1.129999160766601562e-01,2.560000000000000000e+02
3.364000000000000000e+03,2.760000000000000000e+02,9.400010108947753906e-02,2.560000000000000000e+02
2.648000000000000000e+03,2.520000000000000000e+02,8.299994468688964844e-02,1.280000000000000000e+02
7.920000000000000000e+02,1.050000000000000000e+02,3.499984741210937500e-02,6.400000000000000000e+01
1.000000000000000000e+03,1.290000000000000000e+02,4.200005531311035156e-02,6.400000000000000000e+01
3.596000000000000000e+03,3.020000000000000000e+02,9.899997711181640625e-02,2.560000000000000000e+02
2.948000000000000000e+03,2.590000000000000000e+02,8.800005912780761719e-02,2.560000000000000000e+02
3.576000000000000000e+03,2.980000000000000000e+02,1.040000915527343750e-01,2.560000000000000000e+02
1.556000000000000000e+03,1.680000000000000000e+02,5.799984931945800781e-02,1.280000000000000000e+02
1.400000000000000000e+03,1.580000000000000000e+02,5.400013923645019531e-02,6.400000000000000000e+01
1.820000000000000000e+03,1.900000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
3.252000000000000000e+03,2.760000000000000000e+02,9.099984169006347656e-02,2.560000000000000000e+02
6.172000000000000000e+03,4.340000000000000000e+02,1.460001468658447266e-01,5.120000000000000000e+02
1.728000000000000000e+03,1.720000000000000000e+02,5.699992179870605469e-02,1.280000000000000000e+02
4.096000000000000000e+03,3.350000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
9.520000000000000000e+02,1.140000000000000000e+02,3.800010681152343750e-02,6.400000000000000000e+01
1.520000000000000000e+03,1.640000000000000000e+02,5.499982833862304688e-02,1.280000000000000000e+02
2.576000000000000000e+03,2.240000000000000000e+02,8.000016212463378906e-02,2.560000000000000000e+02
1.760000000000000000e+03,1.800000000000000000e+02,7.200002670288085938e-02,1.280000000000000000e+02
4.508000000000000000e+03,3.780000000000000000e+02,1.510000228881835938e-01,2.560000000000000000e+02
1.724000000000000000e+03,1.710000000000000000e+02,5.599999427795410156e-02,1.280000000000000000e+02
2.952000000000000000e+03,2.460000000000000000e+02,8.099985122680664062e-02,2.560000000000000000e+02
2.824000000000000000e+03,2.490000000000000000e+02,8.100008964538574219e-02,2.560000000000000000e+02
3.508000000000000000e+03,2.820000000000000000e+02,9.299993515014648438e-02,2.560000000000000000e+02
3.272000000000000000e+03,2.700000000000000000e+02,9.000015258789062500e-02,2.560000000000000000e+02
1.024000000000000000e+03,1.200000000000000000e+02,3.900003433227539062e-02,6.400000000000000000e+01
3.424000000000000000e+03,2.900000000000000000e+02,9.999990463256835938e-02,2.560000000000000000e+02
3.840000000000000000e+03,3.120000000000000000e+02,1.289999485015869141e-01,2.560000000000000000e+02
2.500000000000000000e+03,2.100000000000000000e+02,8.200001716613769531e-02,2.560000000000000000e+02
1.312000000000000000e+03,1.390000000000000000e+02,4.600000381469726562e-02,1.280000000000000000e+02
6.852000000000000000e+03,4.950000000000000000e+02,1.949999332427978516e-01,5.120000000000000000e+02
2.804000000000000000e+03,2.390000000000000000e+02,8.100008964538574219e-02,2.560000000000000000e+02
1.796000000000000000e+03,1.850000000000000000e+02,6.299996376037597656e-02,1.280000000000000000e+02
3.268000000000000000e+03,2.730000000000000000e+02,9.500002861022949219e-02,2.560000000000000000e+02
2.108000000000000000e+03,1.730000000000000000e+02,6.299996376037597656e-02,2.560000000000000000e+02
2.660000000000000000e+03,2.560000000000000000e+02,8.599996566772460938e-02,1.280000000000000000e+02
4.036000000000000000e+03,3.320000000000000000e+02,1.089999675750732422e-01,2.560000000000000000e+02
2.104000000000000000e+03,1.980000000000000000e+02,6.600022315979003906e-02,1.280000000000000000e+02
1.644000000000000000e+03,1.650000000000000000e+02,5.499982833862304688e-02,1.280000000000000000e+02
1.532000000000000000e+03,1.570000000000000000e+02,5.200004577636718750e-02,1.280000000000000000e+02
4.068000000000000000e+03,3.390000000000000000e+02,1.129999160766601562e-01,2.560000000000000000e+02
1.700000000000000000e+03,1.770000000000000000e+02,5.700016021728515625e-02,1.280000000000000000e+02
1.860000000000000000e+03,1.950000000000000000e+02,6.399989128112792969e-02,1.280000000000000000e+02
2.616000000000000000e+03,2.290000000000000000e+02,7.899999618530273438e-02,2.560000000000000000e+02
1.672000000000000000e+03,1.700000000000000000e+02,5.900001525878906250e-02,1.280000000000000000e+02
3.516000000000000000e+03,2.930000000000000000e+02,1.010000705718994141e-01,2.560000000000000000e+02
1.396000000000000000e+03,1.450000000000000000e+02,4.699993133544921875e-02,1.280000000000000000e+02
2.636000000000000000e+03,2.240000000000000000e+02,7.500004768371582031e-02,2.560000000000000000e+02
3.440000000000000000e+03,2.910000000000000000e+02,9.699988365173339844e-02,2.560000000000000000e+02
1.624000000000000000e+03,1.730000000000000000e+02,5.700016021728515625e-02,1.280000000000000000e+02
3.772000000000000000e+03,2.980000000000000000e+02,9.899997711181640625e-02,2.560000000000000000e+02
3.144000000000000000e+03,2.550000000000000000e+02,8.599996566772460938e-02,2.560000000000000000e+02
1.616000000000000000e+03,1.710000000000000000e+02,5.599999427795410156e-02,1.280000000000000000e+02
1.440000000000000000e+03,1.490000000000000000e+02,4.900002479553222656e-02,1.280000000000000000e+02
3.612000000000000000e+03,3.050000000000000000e+02,1.010000705718994141e-01,2.560000000000000000e+02
3.724000000000000000e+03,3.130000000000000000e+02,1.119999885559082031e-01,2.560000000000000000e+02
3.560000000000000000e+03,3.040000000000000000e+02,1.019999980926513672e-01,2.560000000000000000e+02
4.056000000000000000e+03,3.360000000000000000e+02,1.129999160766601562e-01,2.560000000000000000e+02
1.440000000000000000e+03,1.490000000000000000e+02,4.800009727478027344e-02,1.280000000000000000e+02
1.416000000000000000e+03,1.500000000000000000e+02,5.099987983703613281e-02,1.280000000000000000e+02
2.828000000000000000e+03,2.310000000000000000e+02,7.999992370605468750e-02,2.560000000000000000e+02
1.924000000000000000e+03,1.920000000000000000e+02,6.300020217895507812e-02,1.280000000000000000e+02
3.504000000000000000e+03,2.880000000000000000e+02,9.899997711181640625e-02,2.560000000000000000e+02
