# score,moves,time,max_tile
1.832000000000000000e+03,1.850000000000000000e+02,6.399989128112792969e-02,1.280000000000000000e+02
3.252000000000000000e+03,2.760000000000000000e+02,8.299994468688964844e-02,2.560000000000000000e+02
2.800000000000000000e+03,2.590000000000000000e+02,1.000001430511474609e-01,1.280000000000000000e+02
3.664000000000000000e+03,3.000000000000000000e+02,9.999990463256835938e-02,2.560000000000000000e+02
2.340000000000000000e+03,1.980000000000000000e+02,5.299997329711914062e-02,2.560000000000000000e+02
2.296000000000000000e+03,1.990000000000000000e+02,6.300020217895507812e-02,2.560000000000000000e+02
2.504000000000000000e+03,2.110000000000000000e+02,8.399987220764160156e-02,2.560000000000000000e+02
4.148000000000000000e+03,3.400000000000000000e+02,1.380000114440917969e-01,2.560000000000000000e+02
3.404000000000000000e+03,2.830000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
3.180000000000000000e+03,2.700000000000000000e+02,1.470000743865966797e-01,2.560000000000000000e+02
3.028000000000000000e+03,2.520000000000000000e+02,1.540000438690185547e-01,2.560000000000000000e+02
2.776000000000000000e+03,2.380000000000000000e+02,9.999990463256835938e-02,2.560000000000000000e+02
3.392000000000000000e+03,2.780000000000000000e+02,1.319999694824218750e-01,2.560000000000000000e+02
3.216000000000000000e+03,2.660000000000000000e+02,1.160001754760742188e-01,2.560000000000000000e+02
4.224000000000000000e+03,3.460000000000000000e+02,1.689999103546142578e-01,2.560000000000000000e+02
1.456000000000000000e+03,1.530000000000000000e+02,8.400011062622070312e-02,1.280000000000000000e+02
3.440000000000000000e+03,2.910000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
1.660000000000000000e+03,1.670000000000000000e+02,6.399989128112792969e-02,1.280000000000000000e+02
2.644000000000000000e+03,2.320000000000000000e+02,6.800007820129394531e-02,2.560000000000000000e+02
2.528000000000000000e+03,2.070000000000000000e+02,6.200003623962402344e-02,2.560000000000000000e+02
3.984000000000000000e+03,3.240000000000000000e+02,1.069998741149902344e-01,2.560000000000000000e+02
2.268000000000000000e+03,2.170000000000000000e+02,8.500003814697265625e-02,1.280000000000000000e+02
2.100000000000000000e+03,1.970000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
5.840000000000000000e+02,8.100000000000000000e+01,2.200007438659667969e-02,6.400000000000000000e+01
3.648000000000000000e+03,3.040000000000000000e+02,9.999990463256835938e-02,2.560000000000000000e+02
1.424000000000000000e+03,1.510000000000000000e+02,4.699993133544921875e-02,1.280000000000000000e+02
2.048000000000000000e+03,1.700000000000000000e+02,5.400013923645019531e-02,2.560000000000000000e+02
1.892000000000000000e+03,1.930000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
5.920000000000000000e+02,7.900000000000000000e+01,3.799986839294433594e-02,6.400000000000000000e+01
2.632000000000000000e+03,2.280000000000000000e+02,6.200003623962402344e-02,2.560000000000000000e+02
1.528000000000000000e+03,1.590000000000000000e+02,8.500003814697265625e-02,1.280000000000000000e+02
1.472000000000000000e+03,1.530000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
1.628000000000000000e+03,1.650000000000000000e+02,4.699993133544921875e-02,1.280000000000000000e+02
4.196000000000000000e+03,3.400000000000000000e+02,1.160001754760742188e-01,2.560000000000000000e+02
2.640000000000000000e+03,2.250000000000000000e+02,6.899976730346679688e-02,2.560000000000000000e+02
2.556000000000000000e+03,2.190000000000000000e+02,6.900000572204589844e-02,2.560000000000000000e+02
2.700000000000000000e+03,2.340000000000000000e+02,1.000001430511474609e-01,2.560000000000000000e+02
1.876000000000000000e+03,1.930000000000000000e+02,6.299996376037597656e-02,1.280000000000000000e+02
3.092000000000000000e+03,2.680000000000000000e+02,8.400011062622070312e-02,2.560000000000000000e+02
2.932000000000000000e+03,2.580000000000000000e+02,8.499979972839355469e-02,2.560000000000000000e+02
2.464000000000000000e+03,2.020000000000000000e+02,8.500003814697265625e-02,2.560000000000000000e+02
3.224000000000000000e+03,2.690000000000000000e+02,8.400011062622070312e-02,2.560000000000000000e+02
1.756000000000000000e+03,1.780000000000000000e+02,6.200003623962402344e-02,1.280000000000000000e+02
1.152000000000000000e+03,1.350000000000000000e+02,3.799986839294433594e-02,6.400000000000000000e+01
2.188000000000000000e+03,2.060000000000000000e+02,7.800006866455078125e-02,1.280000000000000000e+02
1.724000000000000000e+03,1.720000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
1.340000000000000000e+03,1.370000000000000000e+02,4.699993133544921875e-02,1.280000000000000000e+02
4.840000000000000000e+02,6.800000000000000000e+01,5.400013923645019531e-02,6.400000000000000000e+01
1.904000000000000000e+03,1.940000000000000000e+02,6.900000572204589844e-02,1.280000000000000000e+02
3.248000000000000000e+03,2.690000000000000000e+02,1.310000419616699219e-01,2.560000000000000000e+02
3.440000000000000000e+03,2.910000000000000000e+02,9.999990463256835938e-02,2.560000000000000000e+02
2.512000000000000000e+03,2.190000000000000000e+02,6.900000572204589844e-02,2.560000000000000000e+02
1.792000000000000000e+03,1.840000000000000000e+02,6.299996376037597656e-02,1.280000000000000000e+02
3.660000000000000000e+03,2.980000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
1.572000000000000000e+03,1.650000000000000000e+02,1.000001430511474609e-01,1.280000000000000000e+02
1.880000000000000000e+03,1.900000000000000000e+02,6.900000572204589844e-02,1.280000000000000000e+02
3.360000000000000000e+03,2.860000000000000000e+02,1.159999370574951172e-01,2.560000000000000000e+02
1.532000000000000000e+03,1.620000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
3.304000000000000000e+03,2.780000000000000000e+02,1.470000743865966797e-01,2.560000000000000000e+02
2.616000000000000000e+03,2.290000000000000000e+02,8.500003814697265625e-02,2.560000000000000000e+02
1.416000000000000000e+03,1.440000000000000000e+02,4.999995231628417969e-02,1.280000000000000000e+02
1.048000000000000000e+03,1.120000000000000000e+02,3.499984741210937500e-02,1.280000000000000000e+02
3.004000000000000000e+03,2.490000000000000000e+02,8.400011062622070312e-02,2.560000000000000000e+02
2.784000000000000000e+03,2.390000000000000000e+02,8.500003814697265625e-02,2.560000000000000000e+02
2.932000000000000000e+03,2.450000000000000000e+02,7.800006866455078125e-02,2.560000000000000000e+02
2.928000000000000000e+03,2.440000000000000000e+02,9.099984169006347656e-02,2.560000000000000000e+02
3.832000000000000000e+03,3.270000000000000000e+02,1.089999675750732422e-01,2.560000000000000000e+02
1.612000000000000000e+03,1.700000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
2.532000000000000000e+03,2.200000000000000000e+02,6.900000572204589844e-02,2.560000000000000000e+02
7.960000000000000000e+02,1.040000000000000000e+02,4.700016975402832031e-02,6.400000000000000000e+01
1.036000000000000000e+03,1.100000000000000000e+02,4.399991035461425781e-02,1.280000000000000000e+02
2.196000000000000000e+03,1.850000000000000000e+02,5.599999427795410156e-02,2.560000000000000000e+02
1.596000000000000000e+03,1.660000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
1.904000000000000000e+03,1.940000000000000000e+02,9.500002861022949219e-02,1.280000000000000000e+02
1.636000000000000000e+03,1.660000000000000000e+02,5.299997329711914062e-02,1.280000000000000000e+02
2.676000000000000000e+03,2.290000000000000000e+02,1.000001430511474609e-01,2.560000000000000000e+02
1.460000000000000000e+03,1.510000000000000000e+02,5.199980735778808594e-02,1.280000000000000000e+02
1.972000000000000000e+03,2.060000000000000000e+02,6.400012969970703125e-02,1.280000000000000000e+02
1.100000000000000000e+03,1.340000000000000000e+02,3.699994087219238281e-02,6.400000000000000000e+01
8.880000000000000000e+02,1.080000000000000000e+02,4.699993133544921875e-02,6.400000000000000000e+01
