# score,moves,time,max_tile
3.544000000000000000e+03,3.010000000000000000e+02,2.870549998283386230e+02,2.560000000000000000e+02
3.292000000000000000e+03,2.710000000000000000e+02,3.431590001583099365e+02,2.560000000000000000e+02
5.592000000000000000e+03,3.920000000000000000e+02,3.345219998359680176e+02,5.120000000000000000e+02
2.688000000000000000e+03,2.300000000000000000e+02,2.731449999809265137e+02,2.560000000000000000e+02
3.440000000000000000e+03,2.870000000000000000e+02,3.373930001258850098e+02,2.560000000000000000e+02
2.916000000000000000e+03,2.410000000000000000e+02,2.556440000534057617e+02,2.560000000000000000e+02
7.680000000000000000e+02,1.040000000000000000e+02,2.637430000305175781e+02,6.400000000000000000e+01
1.064000000000000000e+03,1.090000000000000000e+02,2.232749998569488525e+02,1.280000000000000000e+02
2.288000000000000000e+03,1.880000000000000000e+02,2.867680001258850098e+02,2.560000000000000000e+02
3.940000000000000000e+03,3.240000000000000000e+02,3.544399998188018799e+02,2.560000000000000000e+02
5.140000000000000000e+03,3.690000000000000000e+02,3.398289999961853027e+02,5.120000000000000000e+02
4.828000000000000000e+03,3.710000000000000000e+02,3.379130001068115234e+02,2.560000000000000000e+02
2.300000000000000000e+03,1.920000000000000000e+02,2.861459999084472656e+02,2.560000000000000000e+02
3.100000000000000000e+03,2.590000000000000000e+02,2.751200001239776611e+02,2.560000000000000000e+02
1.360000000000000000e+03,1.390000000000000000e+02,2.485369999408721924e+02,1.280000000000000000e+02
1.356000000000000000e+03,1.400000000000000000e+02,2.084379999637603760e+02,1.280000000000000000e+02
3.124000000000000000e+03,2.550000000000000000e+02,3.376920001506805420e+02,2.560000000000000000e+02
3.156000000000000000e+03,2.580000000000000000e+02,3.094189999103546143e+02,2.560000000000000000e+02
5.672000000000000000e+03,3.960000000000000000e+02,3.558350000381469727e+02,5.120000000000000000e+02
1.644000000000000000e+03,1.680000000000000000e+02,3.258910000324249268e+02,1.280000000000000000e+02
5.492000000000000000e+03,3.780000000000000000e+02,3.023159999847412109e+02,5.120000000000000000e+02
1.292000000000000000e+03,1.460000000000000000e+02,2.609370000362396240e+02,1.280000000000000000e+02
2.804000000000000000e+03,2.480000000000000000e+02,2.816359999179840088e+02,2.560000000000000000e+02
1.496000000000000000e+03,1.580000000000000000e+02,3.143799998760223389e+02,1.280000000000000000e+02
3.324000000000000000e+03,2.820000000000000000e+02,2.761570000648498535e+02,2.560000000000000000e+02
2.820000000000000000e+03,2.380000000000000000e+02,2.682090001106262207e+02,2.560000000000000000e+02
3.064000000000000000e+03,2.520000000000000000e+02,3.313939998149871826e+02,2.560000000000000000e+02
3.080000000000000000e+03,2.520000000000000000e+02,2.717620000839233398e+02,2.560000000000000000e+02
1.748000000000000000e+03,1.780000000000000000e+02,3.085959999561309814e+02,1.280000000000000000e+02
2.928000000000000000e+03,2.580000000000000000e+02,3.577740001678466797e+02,2.560000000000000000e+02
2.936000000000000000e+03,2.600000000000000000e+02,3.269670000076293945e+02,2.560000000000000000e+02
4.260000000000000000e+03,3.550000000000000000e+02,3.228190000057220459e+02,2.560000000000000000e+02
3.208000000000000000e+03,2.690000000000000000e+02,2.591710000038146973e+02,2.560000000000000000e+02
3.872000000000000000e+03,3.180000000000000000e+02,3.152489998340606689e+02,2.560000000000000000e+02
2.472000000000000000e+03,2.140000000000000000e+02,3.030429999828338623e+02,2.560000000000000000e+02
2.496000000000000000e+03,2.150000000000000000e+02,3.641530001163482666e+02,2.560000000000000000e+02
2.004000000000000000e+03,1.830000000000000000e+02,2.970750000476837158e+02,1.280000000000000000e+02
6.596000000000000000e+03,4.500000000000000000e+02,3.880820000171661377e+02,5.120000000000000000e+02
3.356000000000000000e+03,2.790000000000000000e+02,3.567459998130798340e+02,2.560000000000000000e+02
1.960000000000000000e+03,2.030000000000000000e+02,2.570260000228881836e+02,1.280000000000000000e+02
6.440000000000000000e+03,4.610000000000000000e+02,2.676410000324249268e+02,5.120000000000000000e+02
5.064000000000000000e+03,3.540000000000000000e+02,3.676950001716613770e+02,5.120000000000000000e+02
3.860000000000000000e+03,3.160000000000000000e+02,3.135199999809265137e+02,2.560000000000000000e+02
2.156000000000000000e+03,2.010000000000000000e+02,2.695060000419616699e+02,1.280000000000000000e+02
